fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
2054,1,Abdul Razak Alhassan,0,10,21,47%,11,22,0,0,---,0,0,0:00,6,14,4,6,0,1,6,17,2,2,2,2
2054,1,Jacob Malkoun,0,3,10,30%,15,30,4,11,36%,0,0,3:45,3,10,0,0,0,0,3,5,0,3,0,2
2054,2,Abdul Razak Alhassan,0,4,9,44%,6,11,0,0,---,0,0,0:00,1,6,2,2,1,1,4,9,0,0,0,0
2054,2,Jacob Malkoun,0,13,24,54%,33,46,2,4,50%,2,0,3:59,12,22,1,2,0,0,6,15,1,3,6,6
2054,3,Abdul Razak Alhassan,0,7,17,41%,15,26,0,0,---,0,0,0:02,4,13,3,4,0,0,4,12,3,4,0,1
2054,3,Jacob Malkoun,0,11,21,52%,43,59,2,9,22%,0,0,3:57,9,19,1,1,1,1,9,17,2,3,0,1
2055,1,Tracy Cortez,0,20,30,66%,34,52,1,1,100%,0,0,4:11,18,28,2,2,0,0,3,3,2,2,15,25
2055,1,Justine Kish,0,5,8,62%,12,16,0,1,0%,0,0,0:21,3,6,0,0,2,2,4,6,1,1,0,1
2055,2,Tracy Cortez,0,22,44,50%,24,46,1,2,50%,0,0,0:53,9,26,8,10,5,8,19,41,3,3,0,0
2055,2,Justine Kish,0,29,57,50%,38,69,0,0,---,0,0,0:09,15,38,4,8,10,11,27,54,2,3,0,0
2055,3,Tracy Cortez,0,24,38,63%,26,40,1,2,50%,1,0,1:22,13,24,9,12,2,2,17,29,2,2,5,7
2055,3,Justine Kish,1,21,54,38%,22,55,0,0,---,0,0,0:08,12,42,4,6,5,6,19,51,1,2,1,1
2056,1,Luis Pena,0,21,43,48%,21,43,0,0,---,0,0,0:00,16,35,4,7,1,1,20,40,1,3,0,0
2056,1,Alexander Munoz,0,18,45,40%,20,48,2,4,50%,0,0,1:30,10,31,3,9,5,5,18,43,0,2,0,0
2056,2,Luis Pena,0,22,59,37%,22,59,0,0,---,0,0,0:00,20,56,1,1,1,2,21,57,1,2,0,0
2056,2,Alexander Munoz,0,29,48,60%,29,48,1,2,50%,0,0,0:32,15,33,6,7,8,8,26,45,3,3,0,0
2056,3,Luis Pena,0,47,93,50%,47,93,0,0,---,0,0,0:03,38,80,7,11,2,2,47,89,0,4,0,0
2056,3,Alexander Munoz,0,33,76,43%,33,76,1,3,33%,0,0,0:19,15,46,11,22,7,8,33,75,0,1,0,0
2057,1,Alexandr Romanov,0,5,9,55%,14,18,1,1,100%,0,0,2:18,0,4,1,1,4,4,1,5,4,4,0,0
2057,1,Juan Espino,0,4,6,66%,20,22,2,2,100%,0,0,1:28,2,3,1,1,1,2,2,4,1,1,1,1
2057,2,Alexandr Romanov,0,27,44,61%,38,58,1,2,50%,0,0,3:20,23,40,3,3,1,1,7,15,2,2,18,27
2057,2,Juan Espino,0,6,13,46%,21,30,0,1,0%,0,0,0:45,5,12,0,0,1,1,4,11,2,2,0,0
