fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
3761,1,Joe Duffy,0,16,40,40%,16,40,2,2,100%,0,0,0:30,6,24,5,10,5,6,15,39,1,1,0,0
3761,2,James Vick,1,24,69,34%,25,70,0,0,---,0,0,0:04,16,53,5,10,3,6,17,59,3,3,4,7
3761,2,Joe Duffy,0,9,26,34%,10,27,0,0,---,0,0,0:00,3,18,2,4,4,4,9,25,0,1,0,0
3762,1,Walt Harris,0,21,38,55%,34,53,1,1,100%,0,0,3:11,17,31,4,7,0,0,5,19,1,1,15,18
3762,1,Mark Godbeer,0,3,15,20%,9,22,0,0,---,0,0,0:00,2,13,1,1,0,1,2,14,1,1,0,0
3763,1,Ovince Saint Preux,0,15,27,55%,16,28,0,0,---,0,0,0:01,9,20,3,4,3,3,11,23,4,4,0,0
3763,1,Corey Anderson,0,14,21,66%,23,34,2,5,40%,0,0,3:11,8,14,4,5,2,2,8,13,5,7,1,1
3763,2,Ovince Saint Preux,0,5,12,41%,11,18,0,0,---,0,0,0:00,5,11,0,1,0,0,3,9,2,3,0,0
3763,2,Corey Anderson,0,11,17,64%,32,46,2,4,50%,0,0,3:56,7,11,2,3,2,3,2,6,4,6,5,5
3763,3,Ovince Saint Preux,1,3,10,30%,3,10,0,0,---,0,0,0:01,3,10,0,0,0,0,3,10,0,0,0,0
3763,3,Corey Anderson,0,5,7,71%,5,7,0,1,0%,0,0,0:01,4,6,0,0,1,1,4,6,1,1,0,0
3764,1,Randy Brown,0,23,40,57%,30,47,1,1,100%,0,0,3:58,20,37,2,2,1,1,4,13,3,4,16,23
3764,1,Mickey Gall,0,2,5,40%,13,18,0,0,---,0,0,0:04,2,5,0,0,0,0,2,5,0,0,0,0
3764,2,Randy Brown,0,2,7,28%,2,7,0,0,---,0,0,0:14,0,5,0,0,2,2,2,7,0,0,0,0
3764,2,Mickey Gall,0,5,9,55%,28,38,0,1,0%,1,1,4:20,5,9,0,0,0,0,1,4,0,0,4,5
3764,3,Randy Brown,0,16,23,69%,28,45,0,0,---,0,0,4:36,15,22,1,1,0,0,1,2,1,1,14,20
3764,3,Mickey Gall,0,0,2,0%,16,18,0,1,0%,1,0,0:01,0,2,0,0,0,0,0,2,0,0,0,0
3765,1,Aleksei Oleinik,0,26,50,52%,32,56,0,0,---,0,0,0:15,16,38,4,5,6,7,19,40,7,10,0,0
3765,1,Curtis Blaydes,1,30,74,40%,40,84,3,3,100%,0,0,1:17,25,69,2,2,3,3,15,58,11,11,4,5
3765,2,Aleksei Oleinik,0,8,18,44%,9,19,0,0,---,0,0,0:00,6,15,1,2,1,1,8,17,0,1,0,0
3765,2,Curtis Blaydes,0,9,27,33%,10,28,1,1,100%,0,0,0:36,8,26,0,0,1,1,9,27,0,0,0,0
3766,1,Aiemann Zahabi,0,17,31,54%,18,32,0,1,0%,0,1,1:40,9,22,8,9,0,0,10,23,7,8,0,0
3766,1,Ricardo Ramos,0,11,22,50%,14,25,3,4,75%,0,0,0:36,6,16,0,0,5,6,7,17,0,1,4,4
3766,2,Aiemann Zahabi,0,17,40,42%,17,40,0,0,---,0,0,0:00,17,40,0,0,0,0,17,39,0,1,0,0
3766,2,Ricardo Ramos,0,19,48,39%,19,48,0,1,0%,0,0,0:00,13,38,2,5,4,5,19,48,0,0,0,0
3766,3,Aiemann Zahabi,0,12,34,35%,12,34,0,0,---,0,0,0:00,12,33,0,1,0,0,12,34,0,0,0,0
3766,3,Ricardo Ramos,1,12,24,50%,12,24,0,0,---,0,0,0:01,11,20,1,3,0,1,12,24,0,0,0,0
3767,1,Derek Brunson,1,10,24,41%,10,24,0,0,---,0,0,0:03,8,17,0,1,2,6,5,19,0,0,5,5
3767,1,Lyoto Machida,0,3,10,30%,3,10,0,0,---,0,0,0:00,2,6,1,2,0,2,3,10,0,0,0,0
3768,1,Demian Maia,0,29,66,43%,31,68,0,2,0%,0,0,0:02,29,66,0,0,0,0,29,66,0,0,0,0
3768,1,Colby Covington,0,37,125,29%,44,132,0,0,---,0,0,0:06,18,99,1,4,18,22,37,125,0,0,0,0
3768,2,Demian Maia,0,11,38,28%,12,39,0,6,0%,0,0,0:00,11,37,0,0,0,1,11,37,0,1,0,0
3768,2,Colby Covington,0,22,83,26%,25,86,0,0,---,0,0,0:34,20,80,0,0,2,3,20,77,2,5,0,1
3768,3,Demian Maia,0,13,47,27%,16,50,0,5,0%,0,0,0:00,13,46,0,1,0,0,11,45,2,2,0,0
3768,3,Colby Covington,0,29,109,26%,52,133,0,0,---,0,0,1:04,27,107,0,0,2,2,24,102,2,3,3,4
3769,1,Pedro Munhoz,0,20,48,41%,20,48,0,1,0%,1,1,0:02,11,32,1,4,8,12,20,48,0,0,0,0
3769,1,Rob Font,0,30,68,44%,30,68,0,1,0%,0,0,0:05,23,52,6,15,1,1,30,68,0,0,0,0
3770,1,Francisco Trinaldo,0,8,20,40%,13,26,0,0,---,0,0,0:55,5,17,2,2,1,1,6,18,1,1,1,1
3770,1,Jim Miller,0,15,24,62%,29,38,1,2,50%,0,0,2:22,12,19,2,3,1,2,10,17,0,1,5,6
3770,2,Francisco Trinaldo,0,31,74,41%,40,83,0,0,---,0,0,1:32,19,61,10,11,2,2,21,61,3,4,7,9
3770,2,Jim Miller,0,12,36,33%,15,39,0,3,0%,0,0,0:00,5,26,3,5,4,5,12,35,0,1,0,0
3770,3,Francisco Trinaldo,0,24,46,52%,31,56,1,1,100%,0,0,2:13,16,38,6,6,2,2,14,31,5,6,5,9
3770,3,Jim Miller,0,7,20,35%,17,32,0,0,---,0,0,0:04,1,12,3,4,3,4,4,17,3,3,0,0
3771,1,Thiago Santos,1,28,79,35%,29,80,0,0,---,0,0,0:03,22,66,5,9,1,4,17,56,4,7,7,16
3771,1,Jack Hermansson,0,5,28,17%,5,28,0,2,0%,0,0,0:35,4,21,0,3,1,4,5,28,0,0,0,0
3772,1,John Lineker,0,23,44,52%,23,44,0,0,---,0,0,0:00,6,20,13,17,4,7,20,38,3,6,0,0
3772,1,Marlon Vera,0,11,26,42%,11,26,0,0,---,0,0,0:00,2,12,2,5,7,9,11,26,0,0,0,0
3772,2,John Lineker,0,36,67,53%,50,82,0,0,---,0,0,0:55,20,39,10,22,6,6,21,49,3,3,12,15
3772,2,Marlon Vera,0,21,40,52%,21,40,0,0,---,0,0,0:00,10,22,6,10,5,8,18,36,3,4,0,0
3772,3,John Lineker,0,18,60,30%,20,62,0,0,---,0,0,0:40,7,37,10,19,1,4,17,57,1,3,0,0
3772,3,Marlon Vera,0,17,51,33%,18,52,0,0,---,0,0,0:00,9,34,2,9,6,8,14,46,3,5,0,0
3773,1,Vicente Luque,0,30,55,54%,30,55,0,0,---,0,0,0:00,19,41,1,2,10,12,29,54,1,1,0,0
3773,1,Niko Price,0,15,59,25%,15,59,0,0,---,0,0,0:00,13,54,0,2,2,3,14,55,1,4,0,0
3773,2,Vicente Luque,1,31,58,53%,31,58,0,0,---,1,0,0:18,20,45,2,4,9,9,28,50,0,0,3,8
3773,2,Niko Price,0,10,40,25%,11,41,0,1,0%,0,0,0:00,8,36,0,2,2,2,10,40,0,0,0,0
3774,1,Antonio Carlos Junior,0,11,27,40%,35,51,1,1,100%,1,0,3:09,9,23,0,2,2,2,5,16,0,1,6,10
3774,1,Jack Marshman,0,1,15,6%,4,18,0,0,---,0,0,0:00,0,13,1,1,0,1,1,15,0,0,0,0
