fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
4561,Roy Nelson,Jared Rosholt,Roy Nelson,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4562,Ovince Saint Preux,Rafael Cavalcante,Ovince Saint Preux,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne
4563,Joseph Benavidez,Zach Makovsky,Joseph Benavidez,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy
4564,Misha Cirkunov,Alex Nicholson,Misha Cirkunov,Light Heavyweight Bout,Submission,2,1:28,3 Rnd (5-5-5),Herb Dean
4565,Mike Pyle,Sean Spencer,Mike Pyle,Welterweight Bout,KO/TKO,3,4:25,3 Rnd (5-5-5),Yves Lavigne
4566,Joshua Burkman,KJ Noons,Joshua Burkman,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy
4567,Derrick Lewis,Damian Grabowski,Derrick Lewis,Heavyweight Bout,KO/TKO,1,2:17,3 Rnd (5-5-5),Mark Smith
4568,Ray Borg,Justin Scoggins,Justin Scoggins,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4569,Noad Lahat,Diego Rivas,Diego Rivas,Featherweight Bout,KO/TKO,2,0:23,3 Rnd (5-5-5),Mark Smith
4570,Mickey Gall,Mike Jackson,Mickey Gall,Welterweight Bout,Submission,1,0:45,3 Rnd (5-5-5),Yves Lavigne
4571,Artem Lobov,Alex White,Alex White,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith
4572,Anthony Johnson,Ryan Bader,Anthony Johnson,Light Heavyweight Bout,KO/TKO,1,1:26,5 Rnd (5-5-5-5-5),Keith Peterson
4573,Josh Barnett,Ben Rothwell,Ben Rothwell,Heavyweight Bout,Submission,2,3:48,3 Rnd (5-5-5),Gary Copeland
4574,Iuri Alcantara,Jimmie Rivera,Jimmie Rivera,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Liam Kerrigan
4575,Sage Northcutt,Bryan Barberena,Bryan Barberena,Welterweight Bout,Submission,2,3:06,3 Rnd (5-5-5),Keith Peterson
4576,Tarec Saffiedine,Jake Ellenberger,Tarec Saffiedine,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gasper Oliver
4577,Olivier Aubin-Mercier,Diego Ferreira,Diego Ferreira,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro
4578,Rafael Natal,Kevin Casey,Rafael Natal,Middleweight Bout,KO/TKO,3,3:37,3 Rnd (5-5-5),Gary Copeland
4579,Dustin Ortiz,Wilson Reis,Wilson Reis,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro
4580,George Sullivan,Alexander Yakovlev,Alexander Yakovlev,Welterweight Bout,KO/TKO,1,3:59,3 Rnd (5-5-5),Gasper Oliver
4581,Alex Caceres,Masio Fullen,Alex Caceres,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Copeland
4582,Matt Dwyer,Randy Brown,Randy Brown,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Liam Kerrigan
4583,Damon Jackson,Levan Makashvili,Draw,Featherweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Gasper Oliver
4584,Anthony Rocco Martin,Felipe Olivieri,Anthony Rocco Martin,Lightweight Bout,Submission,3,3:02,3 Rnd (5-5-5),Liam Kerrigan
4585,TJ Dillashaw,Dominick Cruz,Dominick Cruz,UFC Bantamweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean
4586,Anthony Pettis,Eddie Alvarez,Eddie Alvarez,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),
4587,Travis Browne,Matt Mitrione,Travis Browne,Heavyweight Bout,KO/TKO,3,4:09,3 Rnd (5-5-5),Gary Forman
4588,Ross Pearson,Francisco Trinaldo,Francisco Trinaldo,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4589,Patrick Cote,Ben Saunders,Patrick Cote,Welterweight Bout,KO/TKO,2,1:14,3 Rnd (5-5-5),Steve Rita
4590,Tim Boetsch,Ed Herman,Ed Herman,Light Heavyweight Bout,KO/TKO,2,1:39,3 Rnd (5-5-5),Kevin MacDonald
4591,Chris Wade,Mehdi Baghdad,Chris Wade,Lightweight Bout,Submission,1,4:30,3 Rnd (5-5-5),Gary Forman
4592,Maximo Blanco,Luke Sanders,Luke Sanders,Featherweight Bout,Submission,1,3:38,3 Rnd (5-5-5),Herb Dean
4593,Paul Felder,Daron Cruickshank,Paul Felder,Lightweight Bout,Submission,3,3:56,3 Rnd (5-5-5),Steve Rita
4594,Ilir Latifi,Sean O'Connell,Ilir Latifi,Light Heavyweight Bout,KO/TKO,1,0:30,3 Rnd (5-5-5),Kevin MacDonald
4595,Charles Rosa,Kyle Bochniak,Charles Rosa,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Forman
4596,Rob Font,Joey Gomez,Rob Font,Bantamweight Bout,KO/TKO,2,4:13,3 Rnd (5-5-5),Herb Dean
4597,Francimar Barroso,Elvis Mutapcic,Francimar Barroso,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Rita
4598,Robbie Lawler,Carlos Condit,Robbie Lawler,UFC Welterweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy
4599,Stipe Miocic,Andrei Arlovski,Stipe Miocic,Heavyweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Herb Dean
4600,Lorenz Larkin,Albert Tumenov,Albert Tumenov,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki
